idx,material,kind,struct,left,right,choice,chosen
34,default_furnace_front.png,real,0.6368,model,baseline,right,baseline
35,default_diamond_block.png,real,0.3404,model,baseline,right,baseline
36,default_silver_sandstone_block.png,real,0.326,baseline,model,right,model
37,farming_soil_wet.png,real,0.4579,model,baseline,right,baseline
38,mesecons_piston_pusher_back.png,real,0.4695,model,baseline,right,baseline
39,default_fence_wood.png,real,0.6316,baseline,model,left,baseline
40,default_tree_top.png,real,0.3949,artist,model,left,artist
41,default_jungletree_top.png,check,0.4007,good,blur,left,good
42,default_clay.png,real,0.7247,baseline,model,right,model
43,carts_cart_side.png,real,0.5431,baseline,model,left,baseline
44,default_desert_stone_brick.png,real,0.4845,model,baseline,right,baseline
45,default_furnace_bottom.png,check,0.4768,good,blur,left,good
46,default_silver_sandstone_brick.png,real,0.4795,baseline,model,left,baseline
47,default_water.png,real,0.3911,model,baseline,right,baseline
48,default_junglewood.png,real,0.6499,baseline,model,left,baseline
49,tnt_blast.png,real,0.4481,model,baseline,right,baseline
50,wool_yellow.png,real,0.8541,baseline,artist,right,artist
51,default_desert_stone_block.png,real,0.3835,artist,baseline,right,baseline
52,default_bookshelf.png,real,0.4023,baseline,model,left,baseline
53,default_sandstone_brick.png,check,0.6463,good,blur,left,good
54,wool_dark_green.png,real,0.858,artist,model,right,model
55,wool_grey.png,real,0.8578,model,baseline,left,model
56,default_aspen_wood.png,real,0.7407,baseline,model,left,baseline
57,default_grass_side.png,real,0.8887,model,baseline,left,model
58,default_stone.png,real,0.4945,baseline,model,left,baseline
59,default_moss.png,real,0.35,baseline,model,right,model
60,wool_blue.png,real,0.8599,baseline,model,right,model
61,carts_cart_front.png,real,0.5431,baseline,model,tie,tie
62,default_cobble.png,check,0.396,blur,good,right,good
63,default_fence_acacia_wood.png,real,0.745,baseline,model,left,baseline
64,default_desert_cobble.png,real,0.3228,artist,baseline,right,baseline
65,mesecons_noteblock.png,real,0.3912,model,baseline,right,baseline
66,default_coral_orange.png,real,0.2576,baseline,artist,right,artist
67,default_fence_aspen_wood.png,real,0.7278,baseline,model,left,baseline
68,default_tree.png,check,0.4993,good,blur,left,good
69,default_furnace_bottom.png,real,0.4768,model,baseline,right,baseline
70,default_brick.png,real,0.7374,baseline,model,left,baseline
71,wool_white.png,real,0.8599,model,baseline,left,model
72,default_sandstone_block.png,real,0.4173,model,baseline,right,baseline
73,default_coral_orange.png,real,0.2576,model,baseline,left,model
74,default_dry_dirt.png,real,0.2288,model,baseline,left,model
75,bones_bottom.png,real,0.4123,baseline,artist,right,artist
76,default_fence_junglewood.png,real,0.6941,baseline,artist,left,baseline
77,farming_soil_wet_side.png,real,0.4167,model,baseline,tie,tie
78,default_obsidian_brick.png,real,0.4929,baseline,model,left,baseline
79,default_cactus_side.png,real,0.5189,artist,model,left,artist
80,mesecons_noteblock.png,real,0.3912,artist,baseline,left,artist
81,default_coral_skeleton.png,real,0.6854,baseline,artist,tie,tie
82,default_fence_acacia_wood.png,real,0.745,baseline,artist,right,artist
83,wool_cyan.png,real,0.8547,model,baseline,left,model
84,default_grass.png,real,0.4187,baseline,model,tie,tie
85,default_coniferous_litter.png,real,0.2766,baseline,model,right,model
86,default_jungletree_top.png,real,0.4007,baseline,model,left,baseline
87,default_wood.png,real,0.6583,baseline,artist,right,artist
88,farming_desert_sand_soil_wet_side.png,real,0.2213,baseline,model,tie,tie
89,farming_soil.png,real,0.5135,baseline,model,left,baseline
90,default_silver_sand.png,real,0.6587,model,baseline,left,model
91,default_obsidian_block.png,real,0.3716,baseline,model,tie,tie
92,mesecons_piston_on_front.png,real,0.3492,baseline,model,left,baseline
93,default_snow_side.png,real,0.8163,model,baseline,tie,tie
94,wool_pink.png,real,0.8591,artist,model,right,model
95,tnt_top.png,real,0.304,baseline,model,tie,tie
96,default_dry_grass.png,real,0.2301,baseline,model,right,model
97,default_silver_sandstone.png,real,0.5246,baseline,model,left,baseline
98,default_pine_tree.png,real,0.6542,model,baseline,right,baseline
99,default_fence_pine_wood.png,real,0.7043,model,baseline,right,baseline
100,default_cactus_side.png,real,0.5189,model,baseline,right,baseline
101,default_coral_skeleton.png,real,0.6854,model,baseline,tie,tie
102,default_jungletree.png,real,0.7605,model,baseline,right,baseline
103,default_grass.png,check,0.4187,good,blur,left,good
104,wool_red.png,real,0.8589,model,baseline,right,baseline
105,default_acacia_tree_top.png,real,0.39,model,baseline,left,model
106,bones_rear.png,real,0.3543,baseline,model,tie,tie
107,default_aspen_tree.png,real,0.4628,model,baseline,right,baseline
108,beds_bed_top1.png,real,0.431,baseline,model,left,baseline
109,default_pine_wood.png,real,0.7258,model,baseline,right,baseline
110,default_desert_stone.png,real,0.6876,artist,model,left,artist
111,default_obsidian.png,real,0.5059,model,baseline,left,model
112,mcl_core_grass_block_top.png,real,0.2021,model,baseline,left,model
113,tnt_bottom.png,real,0.7286,model,baseline,right,baseline
114,wool_orange.png,real,0.8613,baseline,model,right,model
115,default_sand.png,real,0.5397,baseline,artist,right,artist
116,default_cactus_top.png,real,0.5934,baseline,model,tie,tie
117,default_acacia_wood.png,real,0.6567,baseline,model,left,baseline
118,default_desert_sandstone_block.png,real,0.3422,baseline,model,left,baseline
119,default_dry_grass_side.png,real,0.8929,baseline,model,left,baseline
120,default_desert_sandstone_brick.png,real,0.4742,model,baseline,right,baseline
121,default_cobble.png,real,0.396,baseline,model,left,baseline
122,default_sand.png,real,0.5397,baseline,model,right,model
123,farming_straw.png,real,0.5742,model,baseline,right,baseline
124,default_copper_block.png,real,0.4176,model,baseline,right,baseline
125,default_wood.png,real,0.6583,baseline,model,left,baseline
126,wool_green.png,real,0.5546,model,baseline,left,model
127,default_mineral_coal.png,real,0.5616,model,baseline,left,model
128,mesecons_piston_pusher_front.png,real,0.4695,baseline,model,left,baseline
129,default_dirt.png,real,0.4,model,baseline,left,model
130,beds_bed_top2.png,real,0.5804,baseline,model,left,baseline
131,bones_front.png,real,0.2947,model,baseline,tie,tie
132,wool_yellow.png,real,0.8541,model,baseline,left,model
133,default_desert_cobble.png,real,0.3228,model,baseline,right,baseline
134,default_dry_grass.png,check,0.2301,blur,good,right,good
135,default_ice.png,real,0.6832,model,artist,right,artist
136,farming_desert_sand_soil_wet.png,real,0.6917,model,baseline,right,baseline
137,wool_dark_grey.png,real,0.8574,model,baseline,left,model
138,default_acacia_tree.png,real,0.6845,baseline,model,left,baseline
139,default_obsidian.png,real,0.5059,artist,model,left,artist
140,default_sandstone_brick.png,real,0.6463,model,baseline,right,baseline
141,carts_cart_top.png,real,0.3833,baseline,model,left,baseline
142,mesecons_piston_top.png,real,0.3892,baseline,model,right,model
143,default_permafrost.png,real,0.4809,artist,baseline,left,artist
144,beds_bed_top_bottom.png,real,0.6283,artist,model,left,artist
145,default_steel_block.png,real,0.2194,model,baseline,right,baseline
146,mesecons_piston_pusher_top.png,real,0.4695,model,artist,right,artist
147,default_snow_side.png,real,0.8163,baseline,artist,left,baseline
148,default_stone_block.png,real,0.3631,model,baseline,right,baseline
149,bones_bottom.png,real,0.4123,baseline,model,tie,tie
150,wool_dark_green.png,real,0.858,model,baseline,left,model
151,default_desert_sand.png,real,0.2469,baseline,model,right,model
152,default_desert_stone.png,real,0.6876,model,baseline,right,baseline
153,default_coal_block.png,real,0.3133,baseline,model,left,baseline
154,default_meselamp.png,real,0.2738,artist,model,tie,tie
155,beds_bed_top_top.png,real,0.6506,baseline,model,left,baseline
156,mesecons_piston_pusher_top.png,real,0.4695,baseline,model,tie,tie
157,default_jungletree.png,real,0.7605,baseline,artist,left,baseline
158,default_lava.png,real,0.5166,baseline,model,right,model
159,default_desert_stone_block.png,real,0.3835,model,baseline,right,baseline
160,wool_black.png,real,0.8543,model,baseline,left,model
161,default_mese_block.png,real,0.4314,model,baseline,left,model
162,default_mossycobble.png,real,0.373,model,baseline,left,model
163,default_mineral_iron.png,real,0.6911,model,baseline,tie,tie
164,default_desert_sandstone.png,real,0.2355,model,baseline,right,baseline
165,default_bronze_block.png,real,0.4802,model,baseline,right,baseline
166,default_silver_sandstone_brick.png,real,0.4795,model,artist,right,artist
167,default_stone_brick.png,real,0.4869,model,artist,right,artist
168,default_furnace_side.png,real,0.2186,model,baseline,left,model
169,bones_side.png,real,0.4026,model,baseline,tie,tie
170,wool_brown.png,real,0.8563,model,baseline,left,model
