idx,material,kind,left,right,choice,chosen
54,default_dirt.png,real,C_pipe_sdxl,A_artist_native,right,A_artist_native
55,default_desert_sandstone.png,real,A_artist_native,C_pipe_sdxl,left,A_artist_native
56,default_cobble.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
57,default_desert_stone_brick.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
58,default_dirt.png,real,C_pipe_sdxl,B_pipe_artist,left,C_pipe_sdxl
59,default_bookshelf.png,real,B_pipe_artist,A_artist_native,right,A_artist_native
60,default_clay_brick.png,real,B_pipe_artist,A_artist_native,tie,tie
61,default_desert_sand.png,real,B_pipe_artist,A_artist_native,right,A_artist_native
62,default_acacia_wood.png,real,C_pipe_sdxl,A_artist_native,left,C_pipe_sdxl
63,default_coral_green.png,real,A_artist_native,C_pipe_sdxl,right,C_pipe_sdxl
64,default_coral_brown.png,real,B_pipe_artist,A_artist_native,left,B_pipe_artist
65,default_coral_skeleton.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
66,default_desert_stone_block.png,real,B_pipe_artist,A_artist_native,left,B_pipe_artist
67,default_clay.png,real,B_pipe_artist,A_artist_native,right,A_artist_native
68,default_coral_skeleton.png,real,A_artist_native,C_pipe_sdxl,left,A_artist_native
69,default_bookshelf.png,check,blur,good,right,good
70,default_desert_cobble.png,real,C_pipe_sdxl,B_pipe_artist,right,B_pipe_artist
